name,whiteSpaceArea,graphicSpread,graphicDistance,graphicSize,graphicSizeVar,graphicSizeMin,groupSizeVar,groupDistanceMin,graphicXSymmetry,graphicXAsymmetry,graphicYSymmetry,graphicYAsymmetry,textXsymmetry,textXAsymmetry,textYsymmetry,textYAsymmetry
0_1,0.5301228034402982,1.0010621543729286,-0.07849548540590479,0.06610475744388059,0.7481087896236209,0.04837149964916758,0.022034919147960196,300.2714749489584,-0.8268042599584341,-1.341878272455386,-0.368991279806012,-1.1642899196385512,-0.3327305725952649,-1.1494863122000294,0.0,-1.0
0_2,0.7315404310977824,1.001062151517121,-0.07432146963702513,0.1038180731317881,0.8360472664865326,0.025552968933780562,0.0346060243772627,266.71867603642875,-0.8360885564563822,-1.3454546787300348,-0.7190349781457381,-1.3005921902886035,-0.8508925153831792,-1.351166976754123,0.0,-1.0
1_1,0.28928250692461294,1.0010621514163387,-0.0487835093729414,0.04913275424601699,0.6939939745375172,0.06911136107986506,0.01637758474867233,87.7937414266338,-0.36585851036821226,-1.1630188372004442,-0.37676522494728326,-1.1674379710056715,-0.6335832509801943,-1.2679280563073918,0.0,-1.0
1_2,0.6422208333011863,1.001062141423325,-0.03808434891516477,0.12270829989086747,0.871586670397608,0.0,0.040902766630289154,53.2392430293011,-0.7839723861033208,-1.3254291697145706,-0.47097903292316184,-1.2049760507134522,-0.26779521963132336,-1.1224211044048011,0.0,-1.0
2_1,0.6439652048656734,1.001062140649779,-0.05360064981005497,0.11028113613403216,0.7722431285701356,0.0,0.036760378711344056,93.66465090927441,-0.67882844359267,-1.2852332887530735,-0.7260064109713554,-1.3032554853321792,-0.2303627245211221,-1.1064473493858495,-0.49341063404571983,-1.2137717288821968
2_2,0.6599477975322441,1.0010621555227777,-0.057184163982358927,0.11966910975664165,0.7891840930486842,0.0,0.03988970325221388,290.9813909859249,-0.6967721174146005,-1.2920883068770737,-0.6629614786753323,-1.279168901258047,-0.16876985263536542,-1.0794740972221635,0.0,-1.0
3_1,0.521494684315388,1.0010621523880865,-0.15118624047438056,0.019755185448599312,0.3907282137082708,0.5231114891924834,0.006585061816199771,411.5259710684466,-0.691707981434111,-1.2901538625241553,-0.4866026918413294,-1.211107145425016,-0.3649374999625621,-1.1626448750131209,-0.4996095681817284,-1.2161944163696314
3_2,0.4712585438564695,1.0010620759602813,-0.15616183163135774,0.011729107495661813,0.25204439092007713,0.6031185902336823,0.003909702498553938,214.33400893376037,-0.784852034522101,-1.3257662888584931,-0.3780089756877222,-1.167940826891098,0.0,-1.0,-0.4996095681817284,-1.2161944163696314
4_1,0.5336967516565677,1.0010621538317048,-0.1700232959520607,0.013044510953092196,0.2907376914619411,0.8194552358256162,0.004348170317697399,554.7628101969037,-0.659615659446802,-1.277889633958786,-0.7679981312853618,-1.3193111770120955,-0.7101802105186229,-1.2972097881082476,-0.870689535524565,-1.3588265650624736
4_2,0.43173910785564,1.0010621285477452,-0.2415108962188008,0.012632555909723241,0.2827230190261828,0.8251579985695711,0.004210851969907747,605.5194280540818,-0.030579214929797423,-1.0151103435362296,-0.6928088383653295,-1.290574387507383,0.0,-1.0,0.0,-1.0
