name,whiteSpaceArea,graphicSpread,graphicDistance,graphicSize,graphicSizeVar,graphicSizeMin,groupSizeVar,groupDistanceMin,graphicXSymmetry,graphicXAsymmetry,graphicYSymmetry,graphicYAsymmetry,textXsymmetry,textXAsymmetry,textYsymmetry,textYAsymmetry
1922_1,0.5172628569661256,1.0010621572765541,27.268773507280923,0.02078136610178696,0.5751926946239995,0.8262717660996491,0.006927122033928986,748.0900238492127,-0.5399466384193395,-1.2318840479190163,-0.5873796811109304,-1.2501951706104424,-0.49569344566461426,-1.2146642906320517,0.0,-1.0
317_1,0.3369790362592672,1.001062157447531,8.861968757185489,0.01898610545472156,0.5049973177215981,0.4423054755043227,0.0063287018182405196,381.855431463661,-0.4177144663605051,-1.1838844864864673,-0.5583166330889544,-1.238991192826987,-0.32763472969934976,-1.1473892136697437,-0.1396109352924752,-1.0663697108994483
670_2,0.6867844298305718,1.0010621584294135,-0.04812566727835854,0.1616487672507999,0.8881161042456719,0.0,0.0538829224169333,132.68943705676145,-0.6716605321903916,-1.282494120850289,-0.8413851970565632,-1.3474970403951148,0.0,-1.0,0.0,-1.0
1648_2,0.7979946546631581,1.0010621584784862,5.326311565207112,0.09113493086441492,0.8044645305085036,0.022518033738568023,0.030378310288138307,404.14548420611135,-0.886975192846613,-1.3651474053429593,-0.7283153715140979,-1.3041376616761506,0.0,-1.0,0.0,-1.0
2183_1,0.6393073268444135,1.00106215497298,11.201530874115965,0.03157803683020367,0.5977384114325325,0.4726842804288019,0.010526012276734558,505.68636594656505,-0.7042304500977266,-1.294937171580392,-0.5392050258281924,-1.231596665334803,-0.7112307379574111,-1.297611061194469,0.0,-1.0
1948_2,0.6662074971285256,1.0010621586474284,25.0,0.0344926534399404,0.6898255840335208,0.5444016468643613,0.0114975511466468,1067.794626577426,-0.8268197992641457,-1.3418842546935696,-0.49878122667838204,-1.2158708723137635,0.0,-1.0,0.0,-1.0
1623_2,0.5779698719134875,1.0010621427834054,-0.06177974906468301,0.0855241197402572,0.8902698390640669,0.06757354541317981,0.028508039913419065,131.0228716724162,-0.5888608919033477,-1.2507650210412036,-0.739120214042627,-1.3082665801242996,0.0,-1.0,0.0,-1.0
99_1,0.543184966941261,1.0010621430832605,12.369357676413406,0.02570533467855694,0.6331420145150898,0.5152563094926208,0.008568444892852313,329.2835730653401,-0.6736512611535025,-1.2832549266986084,-0.5425139327547029,-1.2328786153938704,-0.686151401756898,-1.2880311522442671,-0.6689178792355489,-1.2814458614453859
439_1,0.527603323732107,1.001062158649017,9.864482672461296,0.01704816684565618,0.4543034814576639,0.9168215243963032,0.005682722281885394,1158.7156482308797,-0.7021129326220765,-1.2941283505414771,-0.4229487536871193,-1.1859713290148117,-0.695170081814215,-1.2914763583420328,-0.7643139486030578,-1.3179011521471546
2048_1,0.6675373178647837,1.0010621552441454,13.014375254691569,0.04487360723089408,0.7059395516384858,0.28038301335262317,0.014957869076964692,401.7892591345737,-0.8742609540826383,-1.360211108657526,-0.46599292481610305,-1.203014455095378,-0.16876985263536542,-1.0794740972221635,0.0,-1.0
