score,idx,nbar,width,bandwidth
0.003002121113240719,0,5,300,0.1
0.07473570853471756,1,5,300,0.15
0.2070646733045578,2,5,300,0.2
0.24815133213996887,3,5,300,0.25
0.35064828395843506,4,5,300,0.3
0.3657606840133667,5,5,300,0.35
0.3717609643936157,6,5,300,0.4
0.3765948712825775,7,5,300,0.45
0.3789605498313904,8,5,300,0.5
0.37933650612831116,9,5,300,0.55
0.3790963590145111,10,5,300,0.6
0.3782484531402588,11,5,300,0.65
0.3766178488731384,12,5,300,0.70000005
0.3751241862773895,13,5,300,0.75
0.37311506271362305,14,5,300,0.8
0.3709627091884613,15,5,300,0.84999996
0.36876407265663147,16,5,300,0.90000004
0.3652094304561615,17,5,300,0.95
0.36061185598373413,18,5,300,1.0
0.003940393682569265,19,5,400,0.1
0.0914425402879715,20,5,400,0.15
0.23779918253421783,21,5,400,0.2
0.2740756571292877,22,5,400,0.25
0.3530658483505249,23,5,400,0.3
0.36417341232299805,24,5,400,0.35
0.36899909377098083,25,5,400,0.4
0.37379688024520874,26,5,400,0.45
0.37578174471855164,27,5,400,0.5
0.37447503209114075,28,5,400,0.55
0.37383681535720825,29,5,400,0.6
0.37319910526275635,30,5,400,0.65
0.3726312518119812,31,5,400,0.70000005
0.37157142162323,32,5,400,0.75
0.3703431785106659,33,5,400,0.8
0.3689979612827301,34,5,400,0.84999996
0.36619630455970764,35,5,400,0.90000004
0.3606163263320923,36,5,400,0.95
0.2561224102973938,37,5,400,1.0
0.0054014744237065315,38,5,500,0.1
0.10043802857398987,39,5,500,0.15
0.24584843218326569,40,5,500,0.2
0.2721579372882843,41,5,500,0.25
0.3368378281593323,42,5,500,0.3
0.36067530512809753,43,5,500,0.35
0.36724603176116943,44,5,500,0.4
0.3700672388076782,45,5,500,0.45
0.3707773983478546,46,5,500,0.5
0.37018728256225586,47,5,500,0.55
0.36959752440452576,48,5,500,0.6
0.3690081536769867,49,5,500,0.65
0.3683586120605469,50,5,500,0.70000005
0.3677240014076233,51,5,500,0.75
0.3668667674064636,52,5,500,0.8
0.36446043848991394,53,5,500,0.84999996
0.3529369533061981,54,5,500,0.90000004
0.24500125646591187,55,5,500,0.95
0.22185586392879486,56,5,500,1.0
0.004001051653176546,57,5,600,0.1
0.06671525537967682,58,5,600,0.15
0.23724502325057983,59,5,600,0.2
0.2512349784374237,60,5,600,0.25
0.2721601128578186,61,5,600,0.3
0.2969864010810852,62,5,600,0.35
0.35851651430130005,63,5,600,0.4
0.36441636085510254,64,5,600,0.45
0.36591389775276184,65,5,600,0.5
0.3655409514904022,66,5,600,0.55
0.36466407775878906,67,5,600,0.6
0.36374229192733765,68,5,600,0.65
0.3626418113708496,69,5,600,0.70000005
0.36132779717445374,70,5,600,0.75
0.3491082191467285,71,5,600,0.8
0.25128036737442017,72,5,600,0.84999996
0.23095986247062683,73,5,600,0.90000004
0.2054337114095688,74,5,600,0.95
0.17223311960697174,75,5,600,1.0
0.0017093428177759051,76,5,700,0.1
0.029605386778712273,77,5,700,0.15
0.20888900756835938,78,5,700,0.2
0.23978522419929504,79,5,700,0.25
0.24732083082199097,80,5,700,0.3
0.25379616022109985,81,5,700,0.35
0.28229808807373047,82,5,700,0.4
0.34609368443489075,83,5,700,0.45
0.3534066677093506,84,5,700,0.5
0.3541066348552704,85,5,700,0.55
0.35448721051216125,86,5,700,0.6
0.35278478264808655,87,5,700,0.65
0.34460800886154175,88,5,700,0.70000005
0.27755168080329895,89,5,700,0.75
0.24086712300777435,90,5,700,0.8
0.2198685258626938,91,5,700,0.84999996
